tweet_id,created_at,in_reply_to_status_id,in_reply_to_user_id,is_quote_status,retweet_count,favorite_count,jpg_url,retweeted,favorited
864197398364647424,2017-05-15 19:14:50+00:00,,,False,8917,29959,http://pbs.twimg.com/media/C_4-8hWUwAAAqoP.jpg,False,False
863553081350529029,2017-05-14 00:34:33+00:00,,,False,4178,15224,http://pbs.twimg.com/ext_tw_video_thumb/863553036815355904/pu/img/B6Dos-XOD8l82tK7.jpg,False,False
862096992088072192,2017-05-10 00:08:34+00:00,,,False,23356,74238,http://pbs.twimg.com/media/C_bIo8MXkAA3xBK.jpg,False,False
861383897657036800,2017-05-08 00:54:59+00:00,,,False,10748,36017,http://pbs.twimg.com/media/C_RAFTxUAAAbXjV.jpg,False,False
861005113778896900,2017-05-06 23:49:50+00:00,,,False,3818,16677,http://pbs.twimg.com/media/C_LnlF5VoAEsL1K.jpg,False,False
860524505164394496,2017-05-05 16:00:04+00:00,,,False,5318,23596,http://pbs.twimg.com/media/C_EyeKuXkAAdxY-.jpg,False,False
858471635011153920,2017-04-30 00:02:42+00:00,,,False,4898,21567,http://pbs.twimg.com/media/C-nnZBdXkAAB-wg.jpg,False,False
857029823797047296,2017-04-26 00:33:27+00:00,,,False,4074,19037,http://pbs.twimg.com/media/C-TIEwIXUAACf_q.jpg,False,False
856526610513747968,2017-04-24 15:13:52+00:00,8.55818117272019e+17,4196983835.0,False,1920,11930,http://pbs.twimg.com/media/C-L-aIYXgAIR0jY.jpg,False,False
854732716440526848,2017-04-19 16:25:34+00:00,,,False,6257,23106,http://pbs.twimg.com/media/C9ye3b3WAAAlTo0.jpg,False,False
854482394044301312,2017-04-18 23:50:52+00:00,,,False,7055,29664,http://pbs.twimg.com/media/C9u7MtmV0AA741s.jpg,False,False
854365224396361728,2017-04-18 16:05:17+00:00,,,False,4817,19138,http://pbs.twimg.com/media/C9tQokgUIAEETSx.jpg,False,False
853639147608842240,2017-04-16 16:00:07+00:00,,,False,10450,35375,http://pbs.twimg.com/media/C9i8RhhXoAAdkMT.jpg,False,False
852672615818899456,2017-04-13 23:59:28+00:00,,,False,2231,15191,http://pbs.twimg.com/media/C9VNNp1XkAEWRFb.jpg,False,False
850145622816686080,2017-04-07 00:38:06+00:00,,,False,3974,16727,http://pbs.twimg.com/media/C8xS62pW0AAcL8f.jpg,False,False
850019790995546112,2017-04-06 16:18:05+00:00,,,False,5088,20950,http://pbs.twimg.com/media/C8vgfFzXkAAonQR.jpg,False,False
849412302885593088,2017-04-05 00:04:08+00:00,,,False,3273,16296,http://pbs.twimg.com/media/C8m3-hKUwAAaNwY.jpg,False,False
849051919805034497,2017-04-04 00:12:06+00:00,,,False,8870,43543,http://pbs.twimg.com/media/C8hwNxbXYAAwyVG.jpg,False,False
847606175596138505,2017-03-31 00:27:14+00:00,,,False,3556,19338,http://pbs.twimg.com/media/C8NNUDBUMAE0XxJ.jpg,False,False
847251039262605312,2017-03-30 00:56:03+00:00,,,False,4485,21064,http://pbs.twimg.com/media/C8IKUjAUwAEP-En.jpg,False,False
846153765933735936,2017-03-27 00:15:53+00:00,,,False,9517,32671,http://pbs.twimg.com/media/C74kWqoU8AEaf3v.jpg,False,False
846042936437604353,2017-03-26 16:55:29+00:00,,,False,3035,16495,http://pbs.twimg.com/media/C72_iaUVUAEhZSn.jpg,False,False
